onset	duration	trial	condition
4.973	4.805	1	2
15.656	4.805	2	1
25.767	4.805	3	1
36.096	4.805	4	2
45.516	4.805	5	1
55.732	4.805	6	2
65.465	4.807	7	1
75.006	4.807	8	2
85.544	4.806	9	2
95.908	4.805	10	1
118.744	4.806	11	2
129.066	4.806	12	1
139.118	4.805	13	1
149.035	4.805	14	2
159.702	4.805	15	1
170.099	4.805	16	2
179.949	4.805	17	1
190.409	4.806	18	2
201.386	4.805	19	2
210.933	4.805	20	1
232.775	4.805	21	1
242.465	4.806	22	2
252.005	4.805	23	1
262.05	4.805	24	1
272.134	4.805	25	2
282.215	4.805	26	2
292.868	4.805	27	1
302.632	4.806	28	2
313.292	4.806	29	1
323.315	4.805	30	2
345.169	4.806	31	1
355.265	4.805	32	2
366.058	4.805	33	1
376.094	4.805	34	1
386.303	4.805	35	2
396.229	4.805	36	2
407.067	4.805	37	1
417.467	4.806	38	2
427.936	4.805	39	1
437.668	4.805	40	2
459.853	4.805	41	2
470.229	4.805	42	1
480.367	4.806	43	2
490.402	4.805	44	2
500.998	4.805	45	1
510.38	4.806	46	2
520.694	4.805	47	1
531.115	4.806	48	2
541.914	4.806	49	1
551.645	4.805	50	1
573.383	4.805	51	2
583.851	4.805	52	1
594.182	4.806	53	2
603.973	4.805	54	2
613.893	4.805	55	1
623.788	4.806	56	2
633.802	4.805	57	1
643.794	4.805	58	2
653.758	4.805	59	1
664.064	4.806	60	1
686.522	4.805	61	1
696.568	4.806	62	2
706.423	4.806	63	2
716.429	4.806	64	2
726.818	4.805	65	1
737.464	4.806	66	2
747.976	4.805	67	1
757.854	4.806	68	1
767.773	4.805	69	2
778.36	4.806	70	1
800.518	4.806	71	1
810.734	4.806	72	2
821.083	4.806	73	2
830.566	4.805	74	2
840.685	4.805	75	1
850.64	4.806	76	2
861.086	4.805	77	1
871.712	4.806	78	1
882.651	4.805	79	2
892.796	4.805	80	1
915.811	4.806	81	1
926.391	4.805	82	1
936.682	4.806	83	2
946.549	4.806	84	1
956.717	4.805	85	2
966.947	4.806	86	1
976.894	4.806	87	2
986.839	4.806	88	2
996.973	4.805	89	2
1007.505	4.805	90	1
1029.969	4.805	91	1
1040.288	4.806	92	1
1049.962	4.805	93	2
1060.036	4.805	94	1
1070.333	4.805	95	2
1080.484	4.805	96	1
1090.807	4.805	97	2
1101.073	4.805	98	2
1112.073	4.806	99	2
1122.357	4.807	100	1
