onset	duration	trial	condition
5.567	4.805	1	2
16.097	4.805	2	1
26.02	4.804	3	1
36.043	4.805	4	2
46.144	4.805	5	1
56.476	4.805	6	2
66.411	4.805	7	1
76.589	4.805	8	2
86.873	4.805	9	2
96.839	4.805	10	1
119.286	4.805	11	2
128.835	4.805	12	1
139.595	4.805	13	1
149.67	4.805	14	2
159.3	4.804	15	1
169.621	4.805	16	2
179.861	4.805	17	1
189.456	4.805	18	2
200.419	4.805	19	2
211.145	4.805	20	1
233.857	4.805	21	1
243.306	4.804	22	2
253.884	4.805	23	1
263.496	4.805	24	1
273.824	4.805	25	2
284.021	4.805	26	2
293.963	4.805	27	1
304.029	4.805	28	2
313.989	4.805	29	1
324.083	4.805	30	2
345.951	4.805	31	1
356.022	4.805	32	2
366.423	4.805	33	1
376.303	4.805	34	1
386.404	4.805	35	2
395.904	4.805	36	2
406.094	4.805	37	1
416.148	4.805	38	2
426.472	4.806	39	1
437.045	4.805	40	2
459.395	4.805	41	2
469.698	4.805	42	1
480.641	4.805	43	2
490.596	4.805	44	2
500.986	4.805	45	1
510.442	4.805	46	2
520.277	4.805	47	1
530.647	4.805	48	2
540.37	4.805	49	1
550.744	4.805	50	1
573.618	4.805	51	2
583.836	4.805	52	1
594.102	4.805	53	2
604.522	4.805	54	2
614.957	4.807	55	1
625.247	4.804	56	2
635.914	4.805	57	1
645.651	4.805	58	2
655.92	4.805	59	1
666.612	4.805	60	1
688.874	4.805	61	1
699.385	4.805	62	2
710.013	4.805	63	2
720.943	4.805	64	2
731.071	4.805	65	1
740.968	4.805	66	2
750.617	4.805	67	1
760.312	4.805	68	1
769.866	4.805	69	2
780.237	4.805	70	1
802.672	4.805	71	1
812.914	4.805	72	2
823.757	4.805	73	2
834.382	4.806	74	2
844.552	4.805	75	1
854.981	4.805	76	2
865.153	4.805	77	1
875.432	4.805	78	1
886.105	4.805	79	2
896.353	4.805	80	1
918.892	4.805	81	1
929.139	4.805	82	1
939.011	4.805	83	2
948.951	4.805	84	1
958.81	4.805	85	2
969.055	4.804	86	1
978.468	4.805	87	2
988.388	4.805	88	2
998.223	4.805	89	2
1008.461	4.805	90	1
1030.727	4.805	91	1
1040.329	4.806	92	1
1049.658	4.806	93	2
1059.413	4.805	94	1
1070.065	4.805	95	2
1079.911	4.804	96	1
1090.707	4.805	97	2
1101.012	4.805	98	2
1110.791	4.805	99	2
1121.394	4.805	100	1
