onset	duration	trial	condition
5.54	4.805	1	2
15.17	4.805	2	1
25.377	4.805	3	1
34.81	4.805	4	2
45.053	4.806	5	1
55.477	4.805	6	2
66.114	4.806	7	1
76.747	4.806	8	2
86.605	4.805	9	2
97.025	4.806	10	1
119.752	4.806	11	2
130.486	4.805	12	1
140.575	4.805	13	1
150.813	4.805	14	2
160.966	4.805	15	1
171.565	4.806	16	2
181.466	4.806	17	1
192.177	4.805	18	2
202.776	4.805	19	2
213.014	4.806	20	1
234.959	4.805	21	1
245.018	4.805	22	2
255.358	4.806	23	1
266.149	4.806	24	1
276.035	4.806	25	2
286.311	4.806	26	2
296.386	4.805	27	1
307.077	4.805	28	2
317.965	4.805	29	1
328.357	4.805	30	2
350.973	4.805	31	1
361.597	4.805	32	2
372.289	4.806	33	1
382.087	4.805	34	1
391.755	4.805	35	2
401.837	4.806	36	2
412.12	4.806	37	1
422.177	4.806	38	2
432.271	4.805	39	1
442.877	4.805	40	2
465.227	4.806	41	2
475.39	4.806	42	1
485.807	4.805	43	2
496.219	4.806	44	2
506.351	4.806	45	1
516.79	4.805	46	2
526.912	4.805	47	1
536.813	4.805	48	2
547.579	4.805	49	1
558.08	4.806	50	1
580.434	4.805	51	2
590.718	4.805	52	1
601.084	4.805	53	2
610.893	4.806	54	2
620.27	4.805	55	1
630.24	4.806	56	2
640.289	4.805	57	1
650.54	4.806	58	2
661.26	4.805	59	1
671.271	4.805	60	1
694.016	4.805	61	1
703.617	4.805	62	2
713.9	4.805	63	2
724.024	4.805	64	2
734.133	4.805	65	1
744.201	4.805	66	2
754.711	4.805	67	1
765.039	4.805	68	1
775.271	4.806	69	2
785.439	4.806	70	1
807.997	4.805	71	1
818.024	4.806	72	2
828.696	4.805	73	2
838.319	4.806	74	2
848.289	4.806	75	1
858.824	4.806	76	2
869.329	4.806	77	1
879.186	4.805	78	1
889.14	4.806	79	2
899.244	4.805	80	1
921.625	4.805	81	1
931.369	4.806	82	1
942.056	4.805	83	2
952.163	4.806	84	1
962.798	4.806	85	2
973.705	4.805	86	1
983.957	4.805	87	2
994.03	4.806	88	2
1004.789	4.806	89	2
1015.249	4.805	90	1
1037.747	4.805	91	1
1047.367	4.805	92	1
1056.788	4.805	93	2
1067.348	4.805	94	1
1077.433	4.805	95	2
1087.742	4.805	96	1
1098.249	4.805	97	2
1108.483	4.805	98	2
1118.335	4.805	99	2
1128.611	4.805	100	1
