onset	duration	trial	condition
5.13	4.806	1	2
15.632	4.805	2	1
25.856	4.805	3	1
36.723	4.805	4	2
46.732	4.805	5	1
57.307	4.806	6	2
67.16	4.805	7	1
77.722	4.805	8	2
87.785	4.806	9	2
98.315	4.805	10	1
120.668	4.805	11	2
130.473	4.805	12	1
140.065	4.806	13	1
150.32	4.805	14	2
160.066	4.806	15	1
170.075	4.806	16	2
180.057	4.805	17	1
189.544	4.805	18	2
200.16	4.805	19	2
210.949	4.806	20	1
233.823	4.805	21	1
244.36	4.806	22	2
254.005	4.805	23	1
264.236	4.805	24	1
274.252	4.804	25	2
284.268	4.806	26	2
294.915	4.805	27	1
304.841	4.805	28	2
315.66	4.805	29	1
325.565	4.806	30	2
347.398	4.805	31	1
357.846	4.805	32	2
367.86	4.805	33	1
377.74	4.805	34	1
387.833	4.805	35	2
397.399	4.805	36	2
407.916	4.805	37	1
418.077	4.805	38	2
428.228	4.806	39	1
437.89	4.805	40	2
459.962	4.805	41	2
470.187	4.805	42	1
479.747	4.806	43	2
490.088	4.805	44	2
500.557	4.805	45	1
510.723	4.805	46	2
521.472	4.805	47	1
531.243	4.806	48	2
541.565	4.805	49	1
551.381	4.805	50	1
573.848	4.805	51	2
584.392	4.805	52	1
595.066	4.806	53	2
604.516	4.805	54	2
614.445	4.806	55	1
625.314	4.806	56	2
634.933	4.805	57	1
645.137	4.805	58	2
655.598	4.805	59	1
665.933	4.806	60	1
688.702	4.806	61	1
698.478	4.806	62	2
709.085	4.805	63	2
719.767	4.805	64	2
729.879	4.805	65	1
739.741	4.805	66	2
749.9	4.806	67	1
760.629	4.806	68	1
771.517	4.805	69	2
781.546	4.806	70	1
803.797	4.806	71	1
813.882	4.807	72	2
823.903	4.806	73	2
834.469	4.804	74	2
844.758	4.805	75	1
854.241	4.806	76	2
863.917	4.805	77	1
874.015	4.806	78	1
883.586	4.805	79	2
893.502	4.805	80	1
916.131	4.805	81	1
926.829	4.805	82	1
936.83	4.805	83	2
946.582	4.806	84	1
956.699	4.807	85	2
967.345	4.805	86	1
977.425	4.805	87	2
987.491	4.805	88	2
997.857	4.805	89	2
1008.104	4.805	90	1
1029.683	4.806	91	1
1039.691	4.806	92	1
1050.518	4.806	93	2
1060.137	4.804	94	1
1070.439	4.805	95	2
1080.197	4.805	96	1
1090.95	4.805	97	2
1100.902	4.805	98	2
1111.34	4.805	99	2
1121.754	4.805	100	1
