onset	duration	trial	condition
5.517	4.805	1	2
15.309	4.806	2	1
26.044	4.806	3	1
36.279	4.805	4	2
46.412	4.806	5	1
57.333	4.805	6	2
67.791	4.806	7	1
77.813	4.806	8	2
87.688	4.805	9	2
97.829	4.805	10	1
120.778	4.806	11	2
130.695	4.805	12	1
140.764	4.806	13	1
151.191	4.805	14	2
161.564	4.805	15	1
171.299	4.806	16	2
181.048	4.806	17	1
191.802	4.806	18	2
202.237	4.805	19	2
212.718	4.805	20	1
235.454	4.805	21	1
245.972	4.805	22	2
255.888	4.805	23	1
266.286	4.806	24	1
276.61	4.806	25	2
287.344	4.806	26	2
297.419	4.806	27	1
307.897	4.805	28	2
317.506	4.806	29	1
327.694	4.806	30	2
349.688	4.805	31	1
359.674	4.806	32	2
370.31	4.806	33	1
381.208	4.806	34	1
391.816	4.806	35	2
402.405	4.805	36	2
412.894	4.805	37	1
422.476	4.805	38	2
432.625	4.806	39	1
442.609	4.805	40	2
465.541	4.806	41	2
476.083	4.806	42	1
486.229	4.805	43	2
496.924	4.805	44	2
507.074	4.805	45	1
517.181	4.806	46	2
527.503	4.805	47	1
537.069	4.806	48	2
546.539	4.806	49	1
556.213	4.805	50	1
577.758	4.807	51	2
587.498	4.805	52	1
597.309	4.805	53	2
607.456	4.804	54	2
617.655	4.805	55	1
628.23	4.805	56	2
638.886	4.805	57	1
648.925	4.806	58	2
659.416	4.805	59	1
670.155	4.806	60	1
692.248	4.806	61	1
702.889	4.807	62	2
713.853	4.805	63	2
724.75	4.805	64	2
735.523	4.805	65	1
746.184	4.805	66	2
756.785	4.806	67	1
767.22	4.805	68	1
777.443	4.806	69	2
788.064	4.806	70	1
809.964	4.805	71	1
819.674	4.806	72	2
829.776	4.806	73	2
839.795	4.805	74	2
849.77	4.805	75	1
859.604	4.805	76	2
870.094	4.806	77	1
881.082	4.805	78	1
891.274	4.806	79	2
900.825	4.806	80	1
923.564	4.805	81	1
933.652	4.805	82	1
943.607	4.805	83	2
953.208	4.805	84	1
963.797	4.806	85	2
974.231	4.806	86	1
984.366	4.806	87	2
994.795	4.806	88	2
1005.557	4.805	89	2
1016.355	4.805	90	1
1039.031	4.806	91	1
1049.547	4.805	92	1
1060.262	4.805	93	2
1070.07	4.805	94	1
1080.178	4.806	95	2
1090.289	4.805	96	1
1101.251	4.806	97	2
1111.903	4.805	98	2
1122.77	4.806	99	2
1133.236	4.805	100	1
