onset	duration	trial	condition
4.961	4.806	1	2
15.737	4.805	2	1
25.581	4.806	3	1
36.119	4.806	4	2
46.168	4.805	5	1
56.44	4.805	6	2
66.749	4.805	7	1
77.071	4.805	8	2
87.276	4.805	9	2
97.579	4.806	10	1
119.743	4.805	11	2
129.116	4.805	12	1
139.083	4.806	13	1
149.396	4.806	14	2
158.945	4.805	15	1
168.958	4.805	16	2
179.529	4.805	17	1
189.935	4.805	18	2
199.771	4.806	19	2
210.342	4.806	20	1
232.597	4.805	21	1
243.135	4.805	22	2
252.627	4.806	23	1
263.072	4.807	24	1
273.927	4.806	25	2
284.008	4.805	26	2
294.466	4.806	27	1
304.886	4.805	28	2
314.943	4.805	29	1
325.283	4.805	30	2
347.599	4.806	31	1
357.678	4.806	32	2
368.055	4.806	33	1
378.818	4.806	34	1
389.23	4.806	35	2
399.289	4.806	36	2
409.804	4.805	37	1
419.433	4.806	38	2
429.526	4.806	39	1
440.03	4.806	40	2
462.771	4.806	41	2
472.552	4.806	42	1
481.93	4.806	43	2
492.266	4.806	44	2
502.276	4.805	45	1
512.508	4.806	46	2
522.687	4.806	47	1
532.895	4.806	48	2
543.258	4.805	49	1
553.315	4.806	50	1
575.954	4.805	51	2
586.36	4.805	52	1
597.203	4.806	53	2
607.623	4.805	54	2
618.595	4.806	55	1
628.892	4.805	56	2
639.341	4.805	57	1
649.794	4.806	58	2
659.914	4.805	59	1
669.685	4.805	60	1
691.833	4.805	61	1
701.608	4.806	62	2
712.22	4.805	63	2
722.087	4.806	64	2
731.832	4.806	65	1
742.761	4.806	66	2
752.93	4.805	67	1
762.724	4.806	68	1
772.188	4.805	69	2
781.744	4.806	70	1
804.059	4.806	71	1
814.16	4.806	72	2
824.661	4.806	73	2
834.764	4.805	74	2
844.46	4.806	75	1
854.352	4.805	76	2
864.371	4.806	77	1
875.094	4.806	78	1
885.362	4.805	79	2
895.481	4.805	80	1
917.088	4.805	81	1
926.869	4.806	82	1
937.161	4.805	83	2
947.441	4.805	84	1
957.633	4.805	85	2
968.195	4.806	86	1
978.549	4.806	87	2
988.615	4.805	88	2
998.627	4.806	89	2
1008.596	4.806	90	1
1030.333	4.806	91	1
1040.336	4.806	92	1
1050.203	4.806	93	2
1060.424	4.805	94	1
1071.043	4.805	95	2
1081.638	4.806	96	1
1091.624	4.805	97	2
1102.159	4.806	98	2
1112.334	4.806	99	2
1122.589	4.806	100	1
