onset	duration	trial	condition
4.908	4.805	1	2
14.766	4.805	2	1
24.236	4.806	3	1
33.631	4.805	4	2
44.072	4.805	5	1
53.757	4.806	6	2
63.844	4.806	7	1
73.73	4.805	8	2
83.552	4.806	9	2
93.668	4.806	10	1
116.32	4.806	11	2
126.849	4.805	12	1
136.98	4.805	13	1
147.131	4.805	14	2
158.035	4.806	15	1
168.185	4.806	16	2
178.458	4.806	17	1
188.381	4.806	18	2
198.526	4.805	19	2
209.178	4.805	20	1
231.734	4.806	21	1
241.454	4.805	22	2
251.61	4.805	23	1
262.015	4.805	24	1
271.648	4.805	25	2
281.335	4.805	26	2
291.491	4.805	27	1
301.831	4.805	28	2
312.226	4.805	29	1
322.195	4.805	30	2
343.951	4.806	31	1
354.229	4.805	32	2
364.468	4.805	33	1
374.698	4.806	34	1
384.649	4.805	35	2
394.575	4.806	36	2
404.731	4.805	37	1
414.746	4.805	38	2
425.246	4.805	39	1
434.966	4.805	40	2
457.151	4.806	41	2
467.137	4.806	42	1
477.412	4.805	43	2
487.788	4.805	44	2
497.883	4.805	45	1
508.093	4.805	46	2
518.308	4.806	47	1
529.159	4.806	48	2
539.244	4.805	49	1
549.711	4.806	50	1
571.693	4.806	51	2
582.167	4.805	52	1
591.572	4.806	53	2
602.065	4.806	54	2
612.081	4.806	55	1
622.55	4.805	56	2
632.343	4.805	57	1
642.492	4.805	58	2
652.562	4.805	59	1
662.456	4.806	60	1
685.149	4.805	61	1
695.958	4.806	62	2
706.719	4.806	63	2
717.264	4.805	64	2
726.842	4.805	65	1
736.722	4.805	66	2
747.464	4.805	67	1
758.004	4.805	68	1
768.789	4.805	69	2
779.055	4.804	70	1
800.999	4.805	71	1
811.49	4.806	72	2
821.199	4.806	73	2
831.428	4.806	74	2
842.012	4.805	75	1
852.144	4.805	76	2
861.688	4.806	77	1
871.486	4.806	78	1
881.753	4.805	79	2
891.949	4.805	80	1
913.932	4.805	81	1
924.723	4.806	82	1
934.406	4.806	83	2
944.746	4.806	84	1
955.652	4.805	85	2
966.054	4.805	86	1
975.91	4.805	87	2
986.372	4.806	88	2
996.276	4.806	89	2
1006.428	4.805	90	1
1028.203	4.805	91	1
1038.734	4.805	92	1
1048.661	4.806	93	2
1058.534	4.806	94	1
1068.969	4.806	95	2
1079.068	4.805	96	1
1089.115	4.805	97	2
1099.54	4.806	98	2
1110.091	4.805	99	2
1120.29	4.805	100	1
