onset	duration	trial	condition
5.748	4.806	1	2
15.33	4.805	2	1
25.312	4.806	3	1
35.911	4.806	4	2
45.546	4.805	5	1
55.956	4.806	6	2
66.859	4.805	7	1
77.059	4.805	8	2
87.209	4.806	9	2
97.515	4.806	10	1
119.22	4.805	11	2
129.625	4.806	12	1
139.491	4.806	13	1
149.94	4.806	14	2
160.117	4.805	15	1
170.159	4.806	16	2
180.03	4.806	17	1
190.147	4.805	18	2
199.691	4.806	19	2
209.204	4.806	20	1
231.494	4.805	21	1
241.526	4.806	22	2
251.914	4.806	23	1
261.423	4.807	24	1
272.076	4.806	25	2
283.094	4.806	26	2
293.405	4.805	27	1
303.962	4.806	28	2
313.928	4.805	29	1
323.727	4.806	30	2
346.018	4.806	31	1
356.602	4.806	32	2
366.828	4.806	33	1
377.696	4.805	34	1
387.677	4.805	35	2
398.16	4.806	36	2
408.68	4.805	37	1
418.862	4.806	38	2
429.433	4.806	39	1
439.175	4.806	40	2
460.522	4.805	41	2
470.962	4.806	42	1
481.421	4.805	43	2
491.311	4.805	44	2
500.888	4.806	45	1
510.371	4.806	46	2
520.652	4.806	47	1
530.992	4.806	48	2
541.467	4.805	49	1
551.415	4.805	50	1
574.086	4.805	51	2
584.183	4.805	52	1
594.374	4.805	53	2
604.49	4.805	54	2
614.16	4.805	55	1
624.497	4.806	56	2
634.821	4.806	57	1
644.395	4.805	58	2
654.26	4.806	59	1
664.3	4.805	60	1
686.011	4.805	61	1
696.354	4.806	62	2
706.336	4.806	63	2
716.941	4.806	64	2
727.505	4.806	65	1
737.856	4.806	66	2
748.533	4.805	67	1
759.084	4.805	68	1
769.371	4.805	69	2
779.357	4.806	70	1
801.342	4.805	71	1
810.892	4.806	72	2
820.526	4.806	73	2
830.803	4.805	74	2
840.997	4.806	75	1
851.575	4.806	76	2
861.881	4.805	77	1
872.048	4.805	78	1
882.228	4.805	79	2
892.487	4.806	80	1
915.072	4.806	81	1
925.166	4.805	82	1
934.715	4.806	83	2
944.942	4.805	84	1
955.164	4.805	85	2
965.224	4.805	86	1
975.138	4.805	87	2
985.635	4.806	88	2
996.386	4.805	89	2
1006.613	4.805	90	1
1028.109	4.806	91	1
1038.243	4.806	92	1
1049.09	4.806	93	2
1058.789	4.806	94	1
1069.269	4.805	95	2
1079.399	4.806	96	1
1089.258	4.805	97	2
1099.299	4.805	98	2
1109.749	4.806	99	2
1120.024	4.806	100	1
