onset	duration	trial	condition
4.945	4.805	1	2
15.681	4.806	2	1
26.282	4.805	3	1
36.67	4.805	4	2
47.569	4.805	5	1
57.987	4.805	6	2
67.876	4.805	7	1
78.411	4.805	8	2
88.586	4.805	9	2
98.744	4.805	10	1
120.915	4.804	11	2
130.901	4.805	12	1
141.383	4.805	13	1
151.755	4.805	14	2
162.147	4.805	15	1
172.459	4.805	16	2
182.247	4.805	17	1
191.777	4.805	18	2
202.141	4.805	19	2
212.505	4.805	20	1
234.556	4.805	21	1
245.002	4.806	22	2
254.908	4.805	23	1
264.888	4.806	24	1
274.675	4.805	25	2
285.21	4.805	26	2
295.586	4.806	27	1
306.074	4.805	28	2
316.768	4.805	29	1
326.959	4.805	30	2
348.892	4.807	31	1
358.587	4.805	32	2
369.096	4.805	33	1
379.249	4.805	34	1
389.809	4.805	35	2
399.916	4.805	36	2
410.541	4.805	37	1
421.25	4.805	38	2
430.805	4.804	39	1
441.448	4.805	40	2
463.305	4.804	41	2
473.832	4.805	42	1
484.45	4.805	43	2
493.888	4.805	44	2
504.157	4.805	45	1
514.578	4.805	46	2
525.623	4.806	47	1
535.803	4.805	48	2
546.724	4.805	49	1
556.696	4.805	50	1
578.962	4.804	51	2
588.936	4.805	52	1
598.384	4.805	53	2
609.162	4.806	54	2
619.207	4.805	55	1
629.379	4.805	56	2
640.077	4.805	57	1
650.356	4.805	58	2
660.702	4.805	59	1
670.874	4.805	60	1
692.839	4.805	61	1
703.303	4.805	62	2
712.977	4.805	63	2
723.112	4.805	64	2
733.088	4.805	65	1
743.012	4.805	66	2
753.711	4.805	67	1
763.417	4.805	68	1
773.599	4.805	69	2
784.097	4.805	70	1
806.45	4.805	71	1
816.948	4.805	72	2
826.94	4.805	73	2
837.161	4.804	74	2
846.762	4.805	75	1
856.777	4.805	76	2
867.058	4.805	77	1
877.059	4.805	78	1
887.053	4.805	79	2
896.903	4.805	80	1
919.15	4.804	81	1
929.162	4.805	82	1
939.727	4.805	83	2
949.143	4.806	84	1
959.469	4.805	85	2
969.662	4.805	86	1
980.343	4.805	87	2
990.944	4.804	88	2
1001.366	4.805	89	2
1011.901	4.805	90	1
1034.113	4.805	91	1
1043.594	4.805	92	1
1054.07	4.806	93	2
1064.738	4.805	94	1
1074.299	4.805	95	2
1084.849	4.805	96	1
1094.957	4.805	97	2
1105.007	4.805	98	2
1115.025	4.805	99	2
1125.155	4.806	100	1
