onset	duration	trial	condition
5.18	4.805	1	2
14.835	4.805	2	1
25.81	4.806	3	1
36.688	4.806	4	2
46.786	4.806	5	1
56.88	4.805	6	2
67.479	4.805	7	1
78.133	4.805	8	2
88.577	4.805	9	2
98.218	4.805	10	1
120.905	4.806	11	2
130.596	4.805	12	1
141.01	4.806	13	1
150.917	4.804	14	2
161.859	4.805	15	1
171.984	4.805	16	2
182.191	4.805	17	1
192.685	4.805	18	2
203.474	4.805	19	2
214.243	4.805	20	1
236.899	4.805	21	1
247.534	4.805	22	2
257.975	4.805	23	1
268.678	4.805	24	1
278.239	4.805	25	2
288.948	4.805	26	2
299.193	4.806	27	1
308.648	4.805	28	2
318.232	4.805	29	1
328.377	4.805	30	2
350.028	4.805	31	1
359.959	4.805	32	2
370.221	4.805	33	1
380.776	4.805	34	1
390.657	4.805	35	2
400.857	4.805	36	2
411.585	4.805	37	1
421.462	4.805	38	2
431.21	4.805	39	1
440.927	4.805	40	2
463.362	4.805	41	2
473.131	4.805	42	1
483.517	4.805	43	2
493.348	4.805	44	2
503.66	4.805	45	1
513.565	4.805	46	2
523.392	4.805	47	1
533.478	4.805	48	2
543.423	4.806	49	1
553.826	4.805	50	1
575.341	4.805	51	2
585.963	4.805	52	1
597.017	4.805	53	2
607.418	4.805	54	2
617.541	4.805	55	1
627.786	4.806	56	2
637.952	4.805	57	1
648.045	4.805	58	2
657.716	4.805	59	1
667.287	4.805	60	1
688.928	4.806	61	1
698.668	4.805	62	2
708.411	4.805	63	2
718.563	4.805	64	2
728.623	4.805	65	1
738.696	4.805	66	2
748.401	4.805	67	1
758.914	4.805	68	1
769.163	4.805	69	2
779.882	4.805	70	1
801.717	4.805	71	1
811.531	4.805	72	2
821.826	4.805	73	2
831.536	4.805	74	2
842.298	4.805	75	1
853.095	4.805	76	2
863.033	4.805	77	1
872.668	4.805	78	1
883.697	4.805	79	2
893.992	4.805	80	1
916.374	4.806	81	1
927.109	4.805	82	1
936.714	4.806	83	2
946.189	4.805	84	1
956.021	4.805	85	2
966.292	4.805	86	1
976.822	4.805	87	2
987.571	4.805	88	2
997.858	4.806	89	2
1007.998	4.805	90	1
1030.421	4.805	91	1
1040.592	4.805	92	1
1050.322	4.806	93	2
1061.103	4.805	94	1
1070.869	4.805	95	2
1080.491	4.805	96	1
1091.212	4.806	97	2
1101.599	4.805	98	2
1111.99	4.805	99	2
1121.847	4.805	100	1
