onset	duration	trial	condition
5.158	4.805	1	2
15.267	4.805	2	1
24.916	4.806	3	1
35.77	4.807	4	2
46.12	4.806	5	1
56.208	4.805	6	2
66.833	4.806	7	1
76.905	4.806	8	2
86.718	4.805	9	2
97.353	4.806	10	1
119.597	4.805	11	2
129.963	4.805	12	1
139.996	4.805	13	1
150.085	4.806	14	2
160.316	4.806	15	1
170.091	4.806	16	2
180.16	4.806	17	1
190.203	4.806	18	2
200.842	4.805	19	2
210.907	4.806	20	1
233.195	4.805	21	1
243.001	4.806	22	2
253.786	4.805	23	1
264.576	4.808	24	1
274.557	4.806	25	2
284.917	4.805	26	2
294.473	4.805	27	1
305.15	4.806	28	2
315.651	4.805	29	1
325.897	4.805	30	2
348.539	4.806	31	1
358.472	4.806	32	2
369.187	4.805	33	1
379.726	4.805	34	1
389.492	4.806	35	2
399.879	4.805	36	2
409.966	4.806	37	1
420.252	4.805	38	2
431.174	4.806	39	1
441.193	4.806	40	2
462.799	4.806	41	2
473.349	4.805	42	1
483.387	4.805	43	2
493.695	4.805	44	2
503.512	4.805	45	1
513.768	4.805	46	2
524.643	4.805	47	1
534.556	4.805	48	2
544.818	4.805	49	1
554.612	4.806	50	1
577.02	4.805	51	2
587.036	4.805	52	1
597.172	4.806	53	2
607.454	4.806	54	2
617.455	4.806	55	1
627.834	4.805	56	2
638.45	4.805	57	1
648.382	4.805	58	2
658.366	4.806	59	1
668.611	4.806	60	1
690.077	4.806	61	1
699.971	4.806	62	2
710.175	4.805	63	2
720.262	4.805	64	2
731.053	4.805	65	1
741.352	4.806	66	2
751.556	4.806	67	1
761.654	4.805	68	1
772.457	4.806	69	2
782.136	4.805	70	1
804.675	4.805	71	1
814.78	4.806	72	2
824.345	4.805	73	2
834.794	4.806	74	2
845.139	4.806	75	1
855.205	4.806	76	2
865.442	4.805	77	1
875.352	4.806	78	1
885.066	4.805	79	2
894.974	4.806	80	1
917.071	4.805	81	1
927.274	4.806	82	1
937.054	4.805	83	2
947.408	4.806	84	1
957.219	4.805	85	2
968.002	4.805	86	1
977.914	4.805	87	2
988.665	4.805	88	2
998.658	4.806	89	2
1009.568	4.805	90	1
1031.874	4.806	91	1
1042.079	4.805	92	1
1052.039	4.806	93	2
1062.465	4.806	94	1
1072.979	4.805	95	2
1082.427	4.806	96	1
1092.596	4.805	97	2
1102.792	4.805	98	2
1113.051	4.805	99	2
1123.343	4.806	100	1
