onset	duration	trial	condition
5.057	4.805	1	2
14.869	4.806	2	1
25.217	4.805	3	1
35.724	4.806	4	2
46.038	4.805	5	1
56.535	4.806	6	2
66.401	4.806	7	1
76.448	4.806	8	2
86.618	4.805	9	2
96.966	4.805	10	1
119.534	4.805	11	2
129.471	4.806	12	1
139.484	4.805	13	1
149.461	4.806	14	2
159.747	4.806	15	1
170.107	4.805	16	2
180.886	4.806	17	1
190.801	4.805	18	2
201.249	4.805	19	2
212.268	4.806	20	1
234.796	4.806	21	1
245.556	4.805	22	2
255.928	4.806	23	1
265.839	4.805	24	1
276.03	4.805	25	2
286.067	4.805	26	2
296.268	4.805	27	1
306.82	4.806	28	2
316.879	4.805	29	1
326.892	4.806	30	2
349.043	4.806	31	1
359.485	4.806	32	2
369.069	4.806	33	1
379.22	4.805	34	1
389.142	4.806	35	2
399.021	4.805	36	2
408.941	4.805	37	1
419.005	4.806	38	2
429.008	4.806	39	1
438.975	4.806	40	2
461.721	4.806	41	2
472.201	4.806	42	1
482.512	4.806	43	2
492.726	4.806	44	2
502.704	4.805	45	1
512.835	4.806	46	2
522.662	4.805	47	1
532.342	4.805	48	2
542.395	4.805	49	1
552.45	4.805	50	1
574.639	4.806	51	2
585.455	4.806	52	1
595.499	4.806	53	2
605.425	4.805	54	2
616.061	4.805	55	1
625.607	4.805	56	2
635.821	4.806	57	1
646.342	4.806	58	2
655.816	4.806	59	1
666.406	4.806	60	1
688.421	4.805	61	1
699.117	4.806	62	2
709.266	4.805	63	2
719.339	4.805	64	2
729.841	4.806	65	1
739.789	4.805	66	2
749.624	4.806	67	1
760.09	4.806	68	1
770.845	4.806	69	2
781.401	4.806	70	1
803.443	4.804	71	1
813.131	4.805	72	2
823.233	4.806	73	2
833.759	4.806	74	2
844.527	4.806	75	1
853.96	4.806	76	2
864.795	4.805	77	1
874.3	4.806	78	1
884.367	4.806	79	2
894.49	4.805	80	1
916.999	4.805	81	1
927.176	4.805	82	1
937.2	4.806	83	2
946.799	4.806	84	1
957.654	4.806	85	2
968.338	4.804	86	1
978.592	4.806	87	2
988.645	4.806	88	2
998.787	4.805	89	2
1009.043	4.806	90	1
1030.965	4.806	91	1
1041.229	4.805	92	1
1050.997	4.806	93	2
1061.452	4.804	94	1
1071.503	4.805	95	2
1081.427	4.805	96	1
1091.963	4.806	97	2
1102.389	4.805	98	2
1112.741	4.806	99	2
1123.309	4.805	100	1
