onset	duration	trial	condition
5.651	4.806	1	2
15.618	4.805	2	1
25.612	4.805	3	1
35.756	4.805	4	2
45.465	4.805	5	1
55.607	4.805	6	2
65.099	4.805	7	1
75.062	4.805	8	2
85.28	4.805	9	2
94.938	4.805	10	1
116.897	4.806	11	2
127.275	4.805	12	1
137.767	4.805	13	1
147.662	4.805	14	2
157.98	4.805	15	1
168.199	4.805	16	2
179.102	4.805	17	1
188.926	4.805	18	2
199.124	4.805	19	2
209.112	4.805	20	1
230.822	4.805	21	1
240.956	4.805	22	2
250.461	4.806	23	1
260.315	4.805	24	1
270.492	4.807	25	2
280.379	4.805	26	2
290.467	4.805	27	1
300.397	4.805	28	2
310.843	4.805	29	1
321.471	4.805	30	2
343.959	4.805	31	1
354.409	4.805	32	2
364.886	4.805	33	1
374.822	4.805	34	1
385.163	4.805	35	2
395.488	4.805	36	2
405.19	4.805	37	1
414.943	4.805	38	2
425.322	4.805	39	1
435.433	4.805	40	2
457.831	4.805	41	2
467.403	4.805	42	1
477.662	4.805	43	2
488.102	4.805	44	2
498.545	4.805	45	1
508.777	4.805	46	2
518.575	4.816	47	1
528.858	4.805	48	2
539.185	4.805	49	1
548.886	4.805	50	1
570.861	4.806	51	2
580.974	4.805	52	1
591.608	4.806	53	2
601.579	4.805	54	2
611.757	4.805	55	1
622.836	4.805	56	2
633.115	4.805	57	1
643.086	4.805	58	2
653.67	4.806	59	1
663.765	4.805	60	1
685.524	4.805	61	1
695.905	4.806	62	2
705.77	4.805	63	2
715.96	4.805	64	2
725.748	4.805	65	1
735.904	4.805	66	2
745.678	4.805	67	1
755.597	4.805	68	1
766.276	4.805	69	2
776.372	4.806	70	1
798.708	4.805	71	1
809.204	4.805	72	2
819.34	4.805	73	2
829.245	4.805	74	2
840.181	4.805	75	1
850.345	4.805	76	2
860.281	4.805	77	1
870.141	4.805	78	1
880.114	4.805	79	2
890.495	4.805	80	1
912.7	4.805	81	1
923.141	4.806	82	1
933.359	4.805	83	2
943.471	4.805	84	1
953.871	4.805	85	2
964.316	4.806	86	1
974.009	4.805	87	2
984.303	4.805	88	2
994.559	4.805	89	2
1005.289	4.805	90	1
1027.49	4.805	91	1
1037.242	4.808	92	1
1046.762	4.805	93	2
1056.48	4.805	94	1
1066.951	4.805	95	2
1076.789	4.805	96	1
1087.295	4.805	97	2
1097.349	4.805	98	2
1107.868	4.805	99	2
1118.537	4.806	100	1
