onset	duration	trial	condition
5.036	4.805	1	2
14.672	4.805	2	1
24.687	4.806	3	1
34.919	4.805	4	2
45.245	4.806	5	1
54.907	4.805	6	2
65.042	4.805	7	1
75.06	4.806	8	2
85.026	4.806	9	2
95.177	4.806	10	1
117.673	4.805	11	2
127.482	4.805	12	1
137.794	4.806	13	1
148.153	4.805	14	2
158.314	4.805	15	1
168.385	4.806	16	2
178.876	4.806	17	1
189.221	4.805	18	2
199.494	4.806	19	2
209.792	4.805	20	1
231.887	4.807	21	1
242.037	4.806	22	2
252.506	4.805	23	1
261.881	4.806	24	1
272.502	4.805	25	2
282.581	4.806	26	2
292.293	4.805	27	1
302.008	4.806	28	2
312.117	4.805	29	1
322.361	4.806	30	2
344.42	4.806	31	1
354.417	4.807	32	2
364.496	4.805	33	1
374.933	4.805	34	1
384.998	4.806	35	2
395.645	4.806	36	2
406.6	4.806	37	1
417.401	4.805	38	2
427.673	4.805	39	1
438.045	4.806	40	2
460.034	4.805	41	2
469.803	4.806	42	1
480.149	4.805	43	2
489.664	4.805	44	2
499.747	4.805	45	1
509.74	4.806	46	2
520.358	4.806	47	1
530.77	4.805	48	2
541.163	4.806	49	1
550.713	4.805	50	1
572.662	4.806	51	2
582.934	4.805	52	1
593.261	4.805	53	2
603.107	4.805	54	2
613.415	4.805	55	1
623.294	4.805	56	2
633.647	4.805	57	1
643.188	4.805	58	2
653.548	4.806	59	1
663.727	4.805	60	1
686.191	4.805	61	1
696.753	4.805	62	2
707.145	4.806	63	2
717.93	4.806	64	2
728.681	4.805	65	1
738.339	4.806	66	2
748.432	4.806	67	1
758.291	4.806	68	1
768.983	4.806	69	2
778.914	4.806	70	1
801.068	4.805	71	1
811.172	4.807	72	2
821.231	4.806	73	2
831.398	4.805	74	2
841.374	4.805	75	1
851.304	4.806	76	2
861.709	4.805	77	1
871.537	4.805	78	1
881.811	4.806	79	2
892.23	4.805	80	1
915.118	4.805	81	1
925.062	4.806	82	1
934.991	4.806	83	2
944.681	4.806	84	1
954.73	4.806	85	2
965.103	4.806	86	1
975.071	4.805	87	2
984.982	4.805	88	2
995.577	4.806	89	2
1005.721	4.806	90	1
1027.67	4.805	91	1
1037.421	4.806	92	1
1047.756	4.805	93	2
1057.936	4.805	94	1
1067.673	4.805	95	2
1078.241	4.806	96	1
1088.22	4.806	97	2
1098.181	4.806	98	2
1108.896	4.804	99	2
1118.617	4.806	100	1
