onset	duration	trial	condition
5.393	4.805	1	2
15.203	4.806	2	1
25.465	4.806	3	1
35.64	4.805	4	2
45.188	4.806	5	1
54.776	4.806	6	2
65.105	4.804	7	1
75.147	4.805	8	2
85.076	4.805	9	2
95.663	4.805	10	1
118.121	4.805	11	2
127.968	4.804	12	1
138.34	4.806	13	1
147.927	4.806	14	2
158.635	4.806	15	1
168.616	4.806	16	2
178.682	4.805	17	1
188.569	4.805	18	2
198.714	4.804	19	2
208.919	4.806	20	1
231.228	4.807	21	1
241.63	4.806	22	2
251.544	4.805	23	1
262.272	4.805	24	1
271.68	4.805	25	2
281.649	4.805	26	2
291.914	4.806	27	1
302.699	4.805	28	2
312.266	4.805	29	1
321.698	4.806	30	2
343.435	4.805	31	1
353.091	4.806	32	2
363.885	4.805	33	1
373.769	4.805	34	1
383.741	4.805	35	2
393.727	4.805	36	2
403.803	4.805	37	1
414.281	4.806	38	2
424.454	4.806	39	1
434.511	4.805	40	2
456.69	4.805	41	2
467.463	4.806	42	1
477.065	4.805	43	2
487.218	4.806	44	2
497.081	4.805	45	1
506.843	4.805	46	2
517.127	4.805	47	1
526.811	4.806	48	2
537.059	4.806	49	1
546.895	4.805	50	1
569.135	4.805	51	2
579.823	4.806	52	1
589.766	4.806	53	2
599.698	4.805	54	2
610.202	4.805	55	1
620.48	4.805	56	2
630.975	4.806	57	1
641.247	4.805	58	2
651.613	4.806	59	1
662.177	4.806	60	1
685.063	4.806	61	1
695.878	4.805	62	2
706.057	4.805	63	2
716.283	4.806	64	2
726.285	4.805	65	1
736.172	4.806	66	2
745.668	4.807	67	1
755.701	4.806	68	1
766.372	4.806	69	2
775.997	4.806	70	1
798.167	4.804	71	1
808.881	4.805	72	2
819.178	4.806	73	2
829.37	4.805	74	2
839.276	4.806	75	1
849.483	4.805	76	2
859.315	4.806	77	1
869.485	4.806	78	1
879.405	4.805	79	2
890.038	4.805	80	1
912.111	4.805	81	1
922.02	4.806	82	1
932.379	4.805	83	2
943.02	4.804	84	1
953.337	4.806	85	2
963.494	4.805	86	1
973.451	4.806	87	2
983.951	4.805	88	2
993.591	4.805	89	2
1003.572	4.805	90	1
1025.756	4.805	91	1
1036.402	4.806	92	1
1047.003	4.805	93	2
1056.48	4.806	94	1
1066.754	4.805	95	2
1076.73	4.805	96	1
1087.207	4.805	97	2
1098.097	4.806	98	2
1108.357	4.805	99	2
1118.612	4.806	100	1
